Species_Name,A,B,C,D,Tmin,Tmax
nitrogen,0,0,0,0,273.15,373.15
water,8.712,0.00125,-0.00000018,0,273.15,373.15
ethane,-0.28686553,0.08411475,0,0,273.15,373.15
pentane,20.10945393,0,0,0,273.15,373.15
hexane,23.45080587,0,0,0,273.15,373.15
cyclohexane,-9.048,0.14138,-0.00016162,0,273.15,373.15
